regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,0,8,sim_study2_near_sub14,4148,1587.7706900999851,1258.454868882022
lazy_50,0,8,sim_study1_near_sub1,102,899.2754376291374,4103.493533470117
lazy_50,0,8,sim_study2_near_sub4,1060,16.63146549420015,5375.590618574793
lazy_50,0,8,sim_study1_near_sub63,5534,351.9721670352416,1533.1633864492258
lazy_50,0,8,sim_study2_near_sub15,5431,430.84659637770267,2606.6254540538225
lazy_50,0,8,sim_study2_near_sub11,5031,1426.1377984749872,2707.652564794093
lazy_50,0,8,sim_study2_near_sub39,5474,953.2273124653437,1309.3949442880414
lazy_50,0,8,sim_study1_near_sub67,5238,426.9947893052456,241.80796741994175
lazy_50,0,8,sim_study1_near_sub4,4055,782.2608350170475,3253.5546836810686
lazy_50,0,8,sim_study2_near_sub1,5456,362.3522353205793,11.740910726265662
lazy_50,0,8,sim_study1_near_sub5,4552,669.1742914672614,2790.321807287318
lazy_50,0,8,sim_study1_near_sub66,5084,451.2246596227318,696.3642091468073
lazy_50,0,8,sim_study1_near_sub72,5263,719.2304321944619,786.8705461476462
lazy_50,0,8,sim_study2_near_sub38,108,13.67707675127808,5887.219608749891
lazy_50,0,8,sim_study2_near_sub12,5170,327.18965267724275,1224.9629735345566
lazy_50,0,8,sim_study1_near_sub70,3998,0.0,4367.15884996281
lazy_50,0,8,sim_study1_near_sub58,4533,1162.739260701575,6064.7821129107015
lazy_50,0,8,sim_study1_near_sub7,3425,303.4576641326657,463.8202992910868
lazy_50,0,8,sim_study2_near_sub2,5324,709.2063575399907,1276.8033956026097
lazy_50,0,8,sim_study1_near_sub6,5299,509.3214123478318,1357.3039024649381
lazy_50,0,8,sim_study1_near_sub59,2374,222.7649015333185,1061.5460440724382
lazy_50,0,8,sim_study1_near_sub71,5220,620.3913088048455,0.4187038079263099
lazy_50,0,8,sim_study2_near_sub75,5125,267.64508219156914,148.22784228518822
lazy_50,0,8,sim_study2_near_sub61,4898,847.2625559403309,2547.3403701585967
lazy_50,0,8,sim_study2_near_sub63,115,806.1543123604282,4266.919349423593
lazy_50,0,8,sim_study1_near_sub29,2412,412.83944371809577,1054.6121252273433
lazy_50,0,8,sim_study1_near_sub15,5436,537.0212633783815,2284.269474962185
lazy_50,0,8,sim_study1_near_sub14,4885,361.9848236019516,267.63042175936664
lazy_50,0,8,sim_study1_near_sub28,5398,156.73129545804653,790.91977335086
lazy_50,0,8,sim_study2_near_sub72,5380,441.7039111132817,757.4214395842554
lazy_50,0,8,sim_study2_near_sub66,5414,0.0,1048.0821599247402
lazy_50,0,8,sim_study1_near_sub10,5456,197.30382557197035,18.648384958905805
lazy_50,0,8,sim_study1_near_sub38,210,1170.4417795831614,3333.985403524496
lazy_50,0,8,sim_study1_near_sub39,4636,320.0293766576213,1430.900377329283
lazy_50,0,8,sim_study2_near_sub73,5262,801.6905383181085,2829.2436432938443
lazy_50,0,8,sim_study2_near_sub65,5241,0.0,902.1823794572497
lazy_50,0,8,sim_study2_near_sub71,5427,697.181941622237,1204.9122660305854
lazy_50,0,8,sim_study2_near_sub59,120,1099.7669923923572,1592.3421468597035
lazy_50,0,8,sim_study2_near_sub58,4507,66.88426954555618,2494.036856906011
lazy_50,0,8,sim_study2_near_sub70,190,551.5827285635148,1858.927788517112
lazy_50,0,8,sim_study2_near_sub64,4235,78.01973048302892,774.8211428662557
lazy_50,8,0,sim_study2_near_sub41,319,290.23508959847936,234.4317865399919
